ano;km;cambio;carroceria;combustivel;final_de_placa;cor;aceita_troca;todas_as_revisoes_feitas_pela_concessionaria;ipva_pago;licenciado;garantia_de_fabrica;nao_identificado;link;todas_as_revisoes_feitas_pela_agenda_do_carro;unico_dono;blindado;alienado
2019/2019;48.832;Manual;Hatchback;Gasolina e álcool;0;Branco;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2019/37211716?pos=a37211716g:&np=4;;Sim;;
2018/2019;34.582;Manual;Hatchback;Gasolina e álcool;9;Preto;Sim;;;;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/37219426?pos=c37219426m:&np=4;;;;
2018/2019;16.100;Automática;Hatchback;Gasolina e álcool;4;Branco;Sim;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2018-2019/36688163?pos=d36688163c:&np=4;Sim;Sim;;
2018/2019;16.100;Automática;Hatchback;Gasolina e álcool;4;Branco;Sim;Sim;Sim;Sim;Sim;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2018-2019/36688163?pos=d36688163c:&np=4;Sim;Sim;;
2018/2019;45.510;Manual;Hatchback;Gasolina e álcool;6;Preto;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/37243385?pos=f37243385g:&np=4;;Sim;;
2018/2019;45.510;Manual;Hatchback;Gasolina e álcool;6;Preto;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/37243385?pos=f37243385g:&np=4;;Sim;;
2018/2019;45.510;Manual;Hatchback;Gasolina e álcool;6;Preto;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/37243385?pos=f37243385g:&np=4;;Sim;;
2018/2019;45.510;Manual;Hatchback;Gasolina e álcool;6;Preto;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/37243385?pos=f37243385g:&np=4;;Sim;;
2018/2019;45.510;Manual;Hatchback;Gasolina e álcool;6;Preto;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/37243385?pos=f37243385g:&np=4;;Sim;;
2018/2019;45.510;Manual;Hatchback;Gasolina e álcool;6;Preto;Sim;;Sim;Sim;;;https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/37243385?pos=f37243385g:&np=4;;Sim;;
