link;preco;valid_preco;modelo;anomodelo;quilometragem
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-unique-12v-flex-4p-manual/4-portas/2018-2019/36588035?pos=h36588035g:&np=16;48,89;1;1.0 UNIQUE 12V FLEX 4P MANUAL;2018/2019;37845 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-12v-flex-sense-manual/4-portas/2020/36632006?pos=i36632006g:&np=16;49,89;1;1.0 12V FLEX SENSE MANUAL;2020/2020;53000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2018-2019/36565556?pos=j36565556g:&np=16;53,9;1;1.0 COMFORT PLUS 12V FLEX 4P MANUAL;2018/2019;26350 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2013/32148201?pos=k32148201a:&np=16;35,3;1;1.0 COMFORT PLUS 12V FLEX 4P MANUAL;2013/2013;80000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-premium-16v-flex-4p-automatico/4-portas/2015/36318906?pos=l36318906a:&np=16;46,0;1;1.6 PREMIUM 16V FLEX 4P AUTOMÁTICO;2015/2015;75000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-plus-12v-flex-4p-manual/4-portas/2015-2016/36409850?pos=m36409850a:&np=16;42,0;1;1.0 COMFORT PLUS 12V FLEX 4P MANUAL;2015/2016;34000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2016-2017/35468177?pos=n35468177a:&np=16;43,0;1;1.0 COMFORT 12V FLEX 4P MANUAL;2016/2017;76000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-comfort-plus-16v-flex-4p-automatico/4-portas/2013-2014/36662297?pos=o36662297g:&np=16;46,9;1;1.6 COMFORT PLUS 16V FLEX 4P AUTOMÁTICO;2013/2014;90000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-0-comfort-12v-flex-4p-manual/4-portas/2016-2017/36663053?pos=p36663053g:&np=16;48,0;1;1.0 COMFORT 12V FLEX 4P MANUAL;2016/2017;78000 km
https://www.webmotors.com.br/comprar/hyundai/hb20/1-6-16v-flex-vision-automatico/4-portas/2021-2022/36663450?pos=q36663450g:&np=16;76,99;1;1.6 16V FLEX VISION AUTOMÁTICO;2021/2022;0 km
